*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DIY Meshtastic PCB 30Pin vertical
*Date=13:06:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;40.005;-48.0626;0;Bottom;Copper Fill26
2;;;3.0353;-8.0576;0;Bottom;Copper Fill17
3;;;48.2423;-16.3021;90;Bottom;TXT4
4;;;11.1252;-68.4207;0;Bottom;Copper Fill14
5;;;2.1336;-36.7215;0;Bottom;Copper Fill21
6;;;43.7354;-50.1034;90;Bottom;TXT2
7;;;10.1653;-70.6153;-90;Bottom;TXT5
8;;;15.0876;-40.468;0;Bottom;Copper Fill28
9;;;2.75885;-12.5781;0;Bottom;TXT5
10;;;4.05764;-39.7975;0;Bottom;TXT1
11;;;43.6245;-29.8254;0;Bottom;Copper Fill61
12;;SIP (Single Inline) [THT];44.9612;-6.16547;90;Bottom;button
13;;;45.3898;-39.2615;0;Bottom;Copper Fill59
14;;;2.286;-8.7815;0;Bottom;Copper Fill18
15;;;14.859;-95.0907;0;Bottom;Copper Fill33
16;;;11.9253;-67.646;0;Bottom;Copper Fill13
17;;;14.859;-82.3907;0;Bottom;Copper Fill51
18;;;16.51;-82.3907;0;Bottom;Copper Fill52
19;;;46.1645;-38.4614;0;Bottom;Copper Fill58
20;;;14.2748;-21.4815;0;Bottom;Copper Fill8
21;;;42.9006;-29.1015;0;Bottom;Copper Fill63
22;;SIP (Single Inline) [THT];46.2312;-50.6155;0;Bottom;oled
23;;;3.9116;-36.7215;0;Bottom;Copper Fill22
24;;;38.9001;-66.3506;0;Bottom;Copper Fill40
25;100nF;100 mil [THT, multilayer];11.9412;-69.6655;-90;Bottom;C10
26;;;2.2352;-18.9415;0;Bottom;Copper Fill56
27;;;2.2352;-18.9415;0;Bottom;Copper Fill11
28;;;3.0353;-9.5054;0;Bottom;Copper Fill16
29;100nF;100 mil [THT, multilayer];47.5012;-39.1855;0;Bottom;C8
