*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DIY Meshtastic PCB 38 pin vertical
*Date=22:01:01
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;18.9992;-20.4147;0;Bottom;Copper Fill22
2;;;37.973;-94.0747;0;Bottom;Copper Fill60
3;;;8.54101;-70.7488;-90;Bottom;TXT5
4;;;38.4429;-59.3656;0;Bottom;Copper Fill19
5;;SIP (Single Inline) [THT];45.2213;-5.13096;90;Bottom;button
6;;;39.624;-99.1547;0;Bottom;Copper Fill67
7;;;23.6313;-71.1711;0;Bottom;Via50
8;;;3.2893;-8.464;0;Bottom;Copper Fill53
9;;;24.9936;-53.0156;0;Bottom;Copper Fill35
10;;;26.0306;-35.8992;90;Bottom;U1
11;;;38.8713;-10.2111;0;Bottom;Via54
12;;;4.01506;-40.8487;0;Bottom;TXT1
13;;;43.8785;-14.8648;0;Bottom;Copper Fill40
14;;;16.4338;-96.6147;0;Bottom;Copper Fill75
15;;;38.7985;-99.9802;0;Bottom;Copper Fill65
16;;;14.3256;-25.4947;0;Bottom;Copper Fill45
17;;;35.0774;-60.1276;0;Bottom;Copper Fill32
18;;;14.8082;-99.1547;0;Bottom;Copper Fill72
19;;;43.8785;-4.2984;0;Bottom;Copper Fill44
20;;;23.6313;-25.4509;0;Bottom;Via60
21;;;43.8785;-37.42;0;Bottom;Copper Fill8
22;;;23.6313;-45.7709;0;Bottom;Via61
23;;;26.1149;-64.0279;0;Bottom;TXT1
24;;;31.2513;-15.2909;0;Bottom;Via56
25;;;38.7985;-67.8746;0;Bottom;Copper Fill76
26;;;3.2893;-6.9908;0;Bottom;Copper Fill23
27;;;38.4429;-59.3656;0;Bottom;Copper Fill46
28;;;43.1546;-28.0347;0;Bottom;Copper Fill12
29;;;39.624;-94.0747;0;Bottom;Copper Fill61
30;10k;THT;46.4913;-15.291;-90;Bottom;R1
31;;;21.0913;-53.3909;0;Bottom;Via62
32;;;36.3313;-81.3311;0;Bottom;Via46
33;;;44.3738;-15.3347;0;Bottom;Copper Fill42
34;;;39.3446;-58.5147;0;Bottom;Copper Fill20
35;;;15.6337;-99.9802;0;Bottom;Copper Fill71
36;;;47.3202;-55.9747;0;Bottom;Copper Fill37
37;;;4.1656;-38.1947;0;Bottom;Copper Fill31
38;;;28.7113;-78.7911;0;Bottom;Via49
39;;;14.8082;-83.9147;0;Bottom;Copper Fill78
40;;;23.6508;-101.475;0;Bottom;TXT1
41;;;18.5293;-20.91;0;Bottom;Copper Fill47
42;;cpol-radial-100uf-25v;4.58125;-7.67102;0;Bottom;C6
43;;;43.3832;-15.3347;0;Bottom;Copper Fill41
44;;;18.5293;-19.9448;0;Bottom;Copper Fill21
45;;;43.1038;-38.1947;0;Bottom;Copper Fill9
46;;;14.8082;-96.6147;0;Bottom;Copper Fill74
47;;;38.7985;-93.2746;0;Bottom;Copper Fill59
48;100nF;100 mil [THT, multilayer];45.2213;-38.151;0;Bottom;C3
49;;;18.5513;-78.7911;0;Bottom;Via51
50;;;30.7086;-15.3347;0;Bottom;Copper Fill51
51;;;43.0022;-5.1747;0;Bottom;Copper Fill16
